sno,hid,hname,state,city,address,zipcode,statecode
0182,HDK0182,Aashirwad Nursing Home (Heart And Diabetes Center),Delhi,New Delhi,"A-29/3, Lions Enclave, Marble Block, Vikas Nagar, Uttam Nagar, New Delhi-110059",110059,DK
0183,HDK0183,Aashlok Nursing Home Pvt Ltd,Delhi,Delhi,"#25A, Block-Ab, Community Centre,Safdarjung Enclave, Newdelhi-110029",110029,DK
0184,HDK0184,Aastha Hospital,Delhi,Delhi,"L-2/50, New Mahavir Nagar Outer Ring Road Near Janakpuri Dist Centre",110018,DK
0185,HDK0185,Action Cancer Hospital,Delhi,Delhi,"H-2/Fc-34,A4 Pashim Vihar",110063,DK
0186,HDK0186,Adiva Hospital Pvt. Ltd.,Delhi,Delhi,C- 1/C Green Park Ext,110017,DK
0187,HDK0187,Agarwal Medical Centre,Delhi,Delhi,"E-234, Greater Kailash, Delhi-110048",110048,DK
0188,HDK0188,Aggarwal Nursing Home,Delhi,Delhi,"2528/192,Tri Nagar,Tota Ram Bazar",110035,DK
0189,HDK0189,Agrawal Eye Institute,Delhi,Delhi,"A-235,Shivalik,Malviya Nagar",110017,DK
0190,HDK0190,Altius Healthcare Pvt Ltd,Delhi,Delhi,"A-6, Pushpanjali Enclave,Pitampurapithampura New Delhi",110034,DK
0191,HDK0191,Altius Healthcare Pvt Ltd,Delhi,Delhi,"#1,Gulshan Park, Main Rohtak Road, Mangloi-110041",110041,DK
0192,HDK0192,Amar Leela Hospital (P) Ltd,Delhi,Delhi,"B-1/6, Janak Puri,Main Najafgarh Roadmain Najafgarh Road,",110058,DK
0193,HDK0193,Amit Nursing Home,Delhi,Delhi,"A-3 Manak Vihar Ext,Tihar,Tihar",110018,DK
0194,HDK0194,Anand Health Care Ltd,Delhi,Delhi,"21,Community Centre, Preet Viharpreet Vihar",110092,DK
0195,HDK0195,Anand Hospital,Delhi,Delhi,"B-52, New Krishna Park, Dholi Piao, Vikas Puri.",110018,DK
0196,HDK0196,Ansari Hospital,Delhi,Delhi,"Rz-20F/B, Street No-6, Sagarpur Main.",110046,DK
0197,HDK0197,Apex Citi Hospital (A Unit Of Siddhartha Healthcare Pvt Ltd.),Delhi,Delhi,"D-440, West Vinod Nagar, Hanuman Road, I.P. Extension, Delhi-110092, Near Punjab National Bank",110092,DK
0198,HDK0198,Arya Hospital,Delhi,Delhi,"C-1/101.Pankha Road,Janak Puri,New Delhi West,",110058,DK
0199,HDK0199,Ashok Nursing Home,Delhi,Delhi,"F-3/15, Vijay Chowk,Krishna Nagarkrishnanagar, Delhi-110051.",110051,DK
0200,HDK0200,Avanitka Hospital,Delhi,Delhi,"#168/A-00/Sector-2, Rohini, Near Pole Star Public School.",110085,DK
0201,HDK0201,Ayushman Hospital,Delhi,Delhi,"# 2, Sec-12, Dwarka",110075,DK
0202,HDK0202,B.M. Gupta Nursing Home Pvt Ltd.,Delhi,Delhi,"H-11, Uttam Nagar, New Delhi",110059,DK
0203,HDK0203,B.T. Hospital,Delhi,Delhi,"182, Mukherjee Park,Khyla Road",110018,DK
0204,HDK0204,Bajaj Eye Care Centre,Delhi,Delhi,"101, Vikas Surya Plaza, Plot # 7, Dda Community Centre Road # 44, Pitampura.",110034,DK
0205,HDK0205,Bali Nursing Home,Delhi,Delhi,"D.B.Gupta Road, Karol Bagh",110005,DK
0206,HDK0206,Banarasidas Chandiwala Institute Of Medical Sciences,Delhi,Delhi,"Chndiwala Estate, Maa Anandmai Marg Kalkaji, New Delhi",110019,DK
0207,HDK0207,Bansal Hospital & Research Centre Pvt Ltd,Delhi,Delhi,"3590, Bajar Sitaram, Delhi",110006,DK
0208,HDK0208,Bansal Hospital(A Unit Of Namedi Hospitalpvt Ltd,Delhi,Delhi,"No.A-1,New Friend'S Colony,",110065,DK
0209,HDK0209,Batra Hospital,Delhi,Delhi,"1 ,Tughkalabad Institutional Am.B Road",110062,DK
0210,HDK0210,Behl Hospital,Delhi,Delhi,"B-128, Naraina Viahar",110028,DK
0211,HDK0211,Bensups Hospital,Delhi,New Delhi,"Bensups Avenue,Sector-12, Dwarka Metro Station",110075,DK
0212,HDK0212,Bhagat Chandra Hospital (A Unit Of Bhagat Hospitals (P) Ltd.),Delhi,New Delhi,"Rz-F1/1, Mahavir Enclave, Near Dwarka Airport Flyover, New Delhi.",110045,DK
0213,HDK0213,Bhagat Hospital,Delhi,Delhi,"D-2/48-49, Janakpuri, New Delhi",110059,DK
0214,HDK0214,Bhagwan Mahavir Hospital,Delhi,Delhi,"Sector-14, Ext., Rohini, Madhuban Chowk.",110085,DK
0215,HDK0215,Bhagwati Hospital,Delhi,Delhi,"Cs/Ocf 6 , Sector 13 Rohininear Printers Apt",110085,DK
0216,HDK0216,Bharti Eye Foundation,Delhi,Delhi,"1/3,East Patel Nagar,Newdelhi",110008,DK
0217,HDK0217,Bhatia Global Hospital & Endosurgery Institute,Delhi,Delhi,"307 &308, Ambica Viharpaschim Vihar",110087,DK
0218,HDK0218,Bimal Hospital,Delhi,Nangloi,"17/1,Near Bhuto Wali Gali",110041,DK
0219,HDK0219,Bimla Devi Hospital,Delhi,Delhi,"# 5, Pocket B, Ocf Mayur Vihar Phase Iiphase-11, Delhi-110091.",110091,DK
0220,HDK0220,Blk Memorial Hospital,Delhi,Delhi,"Pusa Road,Near Rajendra Place Metro Station",110005,DK
0221,HDK0221,Brahm Shakti Hospital,Delhi,Delhi,"U-1/78, Budh Vihar, Phase-1, Main Kanjhawala Road, Delhi-110086",110086,DK
0222,HDK0222,Central Hospital,Delhi,Delhi,"A-142/1, Ganesh Nagar P.O,Tilak Nagartilak Nagar, New Delhi-110018.",110018,DK
0223,HDK0223,Centre For Sight,Delhi,Delhi,"B-5/24, Oppsite Deer Park Safdarjung Enclave,",110016,DK
0224,HDK0224,Centre For Sight (Preet Vihar),Delhi,New Delhi,"F-19 Vikas Marg,Preet Vihar,Nr Preet Vihar Metro Station,Delhipreet Vihar",110092,DK
0225,HDK0225,Centre For Sight (Rajouri),Delhi,Delhi,"J-12/30, Rajouri Garden, New Delhi",110027,DK
0226,HDK0226,Centre For Sight (Rohini),Delhi,Delhi,"304-309, Ring Road Mall, Sector-3, Rohini,",110085,DK
0227,HDK0227,Centre For Sight (Roopnagar),Delhi,Delhi,"1/2. Roop Nagar, New Delhi,",110007,DK
0228,HDK0228,Centre For Sight-Dwarka,Delhi,New Delhi,"Plot No-20, Dwarka Sector 12 A, Opposite Bal Bharti School, Dwarka, New Delhi",110097,DK
0229,HDK0229,Ch. Chhaju Ram Hospital (Aunit Of Holy Touch Healthcare Pvt Ltd),Delhi,Delhi,"Wz-1, Om Viha, Uttam Nagar Main Najafgarh Road, New Delhi -110059",110059,DK
0230,HDK0230,Chaddha Children Hospital & Nursing Home,Delhi,Delhi,"No.121,Guru Harkishan Nagar,Paschim Vihar,",110063,DK
0231,HDK0231,Chandraleela Hospital,Delhi,Delhi,"P13, Vijay Vihar, Uttam Nagar. New Delhi-59Uttam Nagar",110059,DK
0232,HDK0232,Chaudhary Eye Centre & Laser Vision,Delhi,Delhi,"4802/24, Bharat Ram Road,Darya Ganj,24, Darya Ganj,",110002,DK
0233,HDK0233,Chikitsa Nursing Home,Delhi,Delhi,"B-4, Saket",110017,DK
0234,HDK0234,Daya Hospital,Delhi,Delhi,"A-4/16,Paschim Vihar,New Delhi",110063,DK
0235,HDK0235,Deepak Memorial & Medical Research Centre,Delhi,Delhi,"5, Institutional Area, Vikas Marg Ex Ii,Vikas Marg Ex 11,",110092,DK
0236,HDK0236,Deepan Hospital,Delhi,Delhi,"Khasra 139-140, Najafgarh Raod, Kapashera.",110037,DK
0237,HDK0237,Delhi Heart And Lung Institute,Delhi,Delhi,#3Mm Ii Panchkuian Road New Road-110055New Delhi,110055,DK
0238,HDK0238,Delhi Hospital & Temple Nursing Home,Delhi,Delhi,"#1, Ansari Road, Darya Ganj,New Delhi-110002.",110002,DK
0239,HDK0239,Dharmashila Cancer Hospital & Research Centre,Delhi,Delhi,"Dharmashila Marg,Vasundhara Enclavevasundhara Enclave, Delhi - 96",110096,DK
0240,HDK0240,Divya Prastha Hospital,Delhi,Delhi,"Rz-37,Main Road,Palam Colony,",110045,DK
0241,HGA0241,A.V.Da Costa Hospital,Goa,Margao,"No.P-602,Fatorda,Next To Fatorda Stadium,Salcete,",403602,GA
0242,HGA0242,Apollo Victor Hospital,Goa,Margao,"Malbhat, Margao, South Goa, Salcetemargao",403601,GA
0243,HGA0243,Dr. Bhandare Hospital,Goa,Panjim,Fontainhas Panaji Northgoa,403001,GA
0244,HGA0244,Dr. Caeiro Bicholim Polyclinic Hospital,Goa,Panjim,"Sonarpeth, Bicholim,North-Goa, Goa-403504",403504,GA
0245,HGA0245,Dr. Kantak'S Hospital,Goa,Margao,Bishop Rebello Road,403601,GA
0246,HGJ0246,Aadya Ent Hospital,Gujarat,Ahmedabad,"Shivam Complex, Janata Chamber, Saijpur Tower.",380045,GJ
0247,HGJ0247,Aadya Eye Hospital,Gujarat,Ahmedabad,"Near Saijpur Tower, Janata Market.",380045,GJ
0248,HGJ0248,Aagman Hospital,Gujarat,Rajkot,Madhav Vatika Raiya Road.,360007,GJ
0249,HGJ0249,Aakar Hospital,Gujarat,Rajkot,"Virani School Chowk,Opp Punjab Bank,Ramkrishna Nagar Main Road,",360002,GJ
0250,HGJ0250,Aakash Eye Hospital,Gujarat,Mehsana,"A 19-20,Suraksha Society,Near B.Ed.College,Visnagar,Shivmarket",384315,GJ
0251,HGJ0251,Aalok Ortho Care,Gujarat,Ahmedabad,"#8, Vidhyavihar Colony, Opp Hotel Fortune Lankmark, Usmanpura, Ahmedabad, Gujarat",380014,GJ
0252,HGJ0252,Aaruni Hospital Pvt Ltd,Gujarat,Rajkot,"Next To Holy Saint School,Kalawad Road",360001,GJ
0253,HGJ0253,Aaryan Institute Of Medical Sciences,Gujarat,Kutch,"Navanaka,Mandvi,Near Opp Sawmi Narayana Mandir",370465,GJ
0254,HGJ0254,Accident Fracture And Orthopedic Hospital,Gujarat,Gandhinagar,"Near Green Park Dunetha Road , Nani Daman, Gandhinagar, Gujarat-382010",382010,GJ
0255,HGJ0255,Adarsh Hospital,Gujarat,Surat,"16-23, Suryakiran Appartments,Ghoddod Road, Surat-395007.",395007,GJ
0256,HGJ0256,Aditya Orthopaedic Hospital,Gujarat,Ahmedabad,"#201,202,Aditya Plaza,Jodhpur Road,Satellite",380015,GJ
0257,HGJ0257,Adventist Wockardt Heart Hospital,Gujarat,Surat,24 Athwalines Surat,395006,GJ
0258,HGJ0258,Agrawal Hospital,Gujarat,Patan,"5Th Lane,First Floor,Kilachand Centre,Station Road",384265,GJ
0259,HGJ0259,Ajani Hospital,Gujarat,Patan,"Sidharaj Jaysingh Marg, Sidhpur",384151,GJ
0260,HGJ0260,Akar Hospital,Gujarat,Rajkot,"Ramkrishna Nagar Main Road, Virani School Chowk.",360002,GJ
0261,HGJ0261,Akshar Eye Hospital,Gujarat,Ahmedabad,"Kandhari Apartment, Opp S.T. Work Shop,Patia, Naroda Road.",382340,GJ
0262,HGJ0262,Akshar Surgical Hospital,Gujarat,Ahmedabad,"2Nd Floor, Vidita Avenue, Near Jayhind,Char Rasta, Maninagar.",380008,GJ
0263,HGJ0263,Akshardeep Orthopaedic Hospital,Gujarat,Ahmedabad,"2Nd Floor, Shubh Complex, Near Rajasthan Hospital, Shahibaugnr. Rajasthan Hospital,",380004,GJ
0264,HGJ0264,Amee Deep Hospital,Gujarat,Baroda,"Gf-12, Narsinhadham Complex, Opp Sangam Bus Stop, Harni Road.",390022,GJ
0265,HGJ0265,Amijeet Maternity Hospital,Gujarat,Ahmedabad,"A/4, Shantram Complex, Near Nirnaynagar Garnala.",382481,GJ
0266,HGJ0266,Amin Maternity And Nursing Home,Gujarat,Ahmedabad,"17, Manipushp Society, Opp:Sarathi-2, B/H Goyal Intercitynr. Surdhara Circle",380054,GJ
0267,HGJ0267,Anamay Eye Hospital,Gujarat,Ahmedabad,Off.C.G.Road Nr President Hotel Opp. Mahalya Builldingnavrangpura,380009,GJ
0268,HGJ0268,Anand Multispeciality Hospital,Gujarat,Ahmedabad,"Shubh Complex, Shahibuy, Near Rajsthan Hosptial.",380004,GJ
0269,HGJ0269,Anand Multispeciality Hospital,Gujarat,Ahmedabad,"N.H.8,Hirawati",382350,GJ
0270,HGJ0270,Anand Surgical Hospital Ltd.,Gujarat,Ahmedabad,"5, Janta Chambers, Nr,Saijpur Towernr. Saijpur Tower",382345,GJ
0271,HGJ0271,Aneri Surgical & Neurosurgical Hospital,Gujarat,Ahmedabad,"1St Floor, Swami Narayan Complex.",380007,GJ
0272,HGJ0272,Anjali Hospital,Gujarat,Nadiad,"Desai Vago,Nadiad",387001,GJ
0273,HGJ0273,Ano Surge Hospital & Research Centre,Gujarat,Patan,"Doctor House,Opp Shantaba Hall,Bus Station Road",384265,GJ
0274,HGJ0274,Ansuya General Hospital,Gujarat,Ahmedabad,"#4,Daxini Society,Maninagar",380008,GJ
0275,HGJ0275,Apollo Hospital International Ltd,Gujarat,Gandhinagar,"Plot No.1A, Gidc Estate-Bhat, Gandhinagar-382428",382428,GJ
0276,HGJ0276,Arihant Fracture & Orthopaedic Hospital,Gujarat,Ahmedabad,"Upnishad, 1St Floor, Near Shreyas Rly Crossing. Ambavadi.",380015,GJ
0277,HGJ0277,Arihant Heart & Medical Hospital,Gujarat,Ahmedabad,"S-15, Shubh Complex,2Nd Floor, Nr.Rajasthan Hospitalrajasthan Hosp. Road,",380004,GJ
0278,HGJ0278,Arpan Maternity Hospital & Endoscopy Centre,Gujarat,Porbandar,"Uganda Road, Porbandar, Near Railway Station",360575,GJ
0279,HGJ0279,Ashirwad Medical & Orthopedic Hospital,Gujarat,Patan,"4-A, Subhadra Nagar, Opp. Technical School, Patan.",384265,GJ
0280,HGJ0280,Ashirwad Surgical Hospital,Gujarat,Amraiwadi,"Wonder Paint,Nh8 Ctm,Amraiwadi",380028,GJ
0281,HGJ0281,Ashish Orthopaedic Hospital,Gujarat,Ahmedabad,"24, Himalaya Complex, Nehru Park, Vajtrapur",380015,GJ
0282,HGJ0282,Aum Eye Hospital,Gujarat,Jamnagar,"Jolly Bunglow Complex,Summair Club Road,",361005,GJ
0283,HGJ0283,Auro Ent Hospital,Gujarat,Ahmedabad,"Sanjeevani Complex Opp Mehsana Society, New Vadaj Road",380013,GJ
0284,HGJ0284,Auroma Ent Hospital,Gujarat,Ahmedabad,"Agrawal Tower, Bhuyangdev Cross Road, Ghatlodia",380061,GJ
0285,HGJ0285,Austmangal Surgical Hospital,Gujarat,Ahmedabad,"Ahmedabad, Civil Hospital (1 Km)",380004,GJ
0286,HGJ0286,Balaji Hospital ( A Unit Of Shri Vhmrc Pvt Ltd),Gujarat,Baroda,"Opp. Vidya Vikas School, Subhanpura.",390023,GJ
0287,HGJ0287,Bankers Heart Institute,Gujarat,Baroda,"Near Tagorenagar,Old Padra Road,Opp Suryakiran Building,",390015,GJ
0288,HGJ0288,Baroda Heart & Multispeciality Hospital,Gujarat,Bharuch,"71 To 91,Capital Business Centre,Upper Ground Floor,Wing B,Panchbatti Oppcentral Bank Of India,Station Road,",392001,GJ
0289,HGJ0289,Baroda Heart Institute And Research Centre,Gujarat,Baroda,"44, Haribhakti Colony, Race Course,Vadodara",390007,GJ
0290,HGJ0290,Batra Hospital,Gujarat,Baroda,"112-116,Chaturbhai Park Sangam Warasia Ring Road",390006,GJ
0291,HGJ0291,Bavishi Eye Hospital,Gujarat,Ahmedabad,"# 1, Tapovan Society, S.N. Road, Ahmedabad-380015",380015,GJ
0292,HGJ0292,Bavishi Hospital,Gujarat,Ahmedabad,"Opp Manjulal Municipal Garden,Near Adani Cng Pvmp Station",380007,GJ
0293,HGJ0293,Better Health Pvt Ltd,Gujarat,Ahmedabad,"Pallav J.M. Desai Memorial Hospital, Maninagar East.",380008,GJ
0294,HGJ0294,Bhagwati Urology Hospital,Gujarat,Jamnagar,"Amrish Complex,4Th Floor,Gurudwara Road, Indira Marg.",361001,GJ
0295,HGJ0295,Bhailal Amin General Hospital,Gujarat,Baroda,Bhailal Amin Marg Gorwabaroda,390003,GJ
0296,HGJ0296,Bharucha Hospital,Gujarat,Baroda,"Anjana Park Complex,Subhanpura Main Road",390023,GJ
0297,HGJ0297,Bhavsar Surgical & Maternity Hospital,Gujarat,Godhra,"Near Church, Panjera Pole, Above Bombay Cold Drinks Medaopp.Bank Of Baroda",389001,GJ
0298,HGJ0298,Bodyline Hospitals (A Unit Of Kidneyline Healthcare Pvt Ltd),Gujarat,Ahmedabad,"Opp. Annapurna Hall, Near Dev Status, New Vikas Gruh Road, Paldi, Ahmedabad.",380007,GJ
0299,HGJ0299,Bopal Eye Care Centre,Gujarat,Ahmedabad,"Off-Bs-22To25, B Wing, 2Nd Floor, Ahmedabad, Amrapali Mall, Bopal City Gold Theatre",380058,GJ
0300,HGJ0300,Bopal Multispeciality Hospital Pvt Ltd,Gujarat,Ahmedabad,"1St First Floor,Abhinandan Complex, Opp-Inductotherm, Bopal , Ahmedabad",380058,GJ
0301,HGJ0301,Brain & Spine Hospital,Gujarat,Ahmedabad,"Blue Star Complex,Near Under Bridge,Income Tax,Navrangpur",380014,GJ
0302,HGJ0302,C.F. Sheth Memorial Hospital,Gujarat,Bharuch,"Shalimar Complex, Station Road",392001,GJ
0303,HGJ0303,Centre For Knee Surgery,Gujarat,Baroda,"101/3,Akashganga Complex,Race Couse Circle",390007,GJ
0304,HGJ0304,Chandan Hospital & Icu,Gujarat,Baroda,"Navarang Talkies Compound, Raopura, Baroda-390001",390001,GJ
0305,HGJ0305,Chandramani Hospital,Gujarat,Ahmedabad,"Girdhar Nagar, Shahibag",380004,GJ
0306,HGJ0306,Chintan Orthopaedic Hospital,Gujarat,Ahmedabad,"#16,Anuradha Society,Jivraj Park Cross Road",380051,GJ
0307,HGJ0307,Chitrakut Surgical Hospital,Gujarat,Ahmedabad,"734/4888 , Bapunagar ,Near Pattelvadi ,",380024,GJ
0308,HGJ0308,Cims Hospital Private Limited,Gujarat,Ahmedabad,Nr Shukan Mall Off Science City Road Sola Shukan Mall,380060,GJ
0309,HGJ0309,Darshan Eye Care Clinic (Savjiani Medico (P) Ltd),Gujarat,Rajkot,"2Nd Floor, Parishram Plaza,Mangla Main Roadmangla Main Road, Rajkot.",360002,GJ
0310,HGJ0310,Dave Orthopaedic Hospital,Gujarat,Ahmedabad,"Opp S.T. Bus Station,",365601,GJ
0311,HGJ0311,Ddmm Heart Instituti,Gujarat,Nadiad,"Mission Road,Nadiad",387002,GJ
0312,HGJ0312,Deep Intensive And Critical Care,Gujarat,Baroda,"B/4, Maharani Shool, Near Sursagar, Raopura",390001,GJ
0313,HGJ0313,Dev Eye Hospital,Gujarat,Ahmedabad,"#405,Pratham Mangal Complex,Opp Vasna Telephone Exchange,Vasna",380007,GJ
0314,HGJ0314,Dev Hospital Dev Seva Trust,Gujarat,Ahmedabad,"Kesariyaji Bus Stop, Vasna Jivraj Mehta Hosp. Road,Vasna Ahmedabad-380007",380007,GJ
0315,HGJ0315,Devam Orthopaedic Hospital,Gujarat,Ahmedabad,"215-216, Sarvopari Mall, Near Bhuyangdev Cross Road, Sola Road, Ghatlodia, Ahmedabad- 380061, Gujarat",380061,GJ
0316,HGJ0316,Devasya Kidney And Multispeciality Hospital,Gujarat,Ahmedabad,"3, Panchal Nagar Society, Opp Mehasana Society, Nava Vadaj Road,Vadaj",380013,GJ
0317,HGJ0317,Devpushp Hospital,Gujarat,Baroda,"Devpushp Complex,Tulsidham Cross Road,Manjalpur",390011,GJ
0318,HGJ0318,Dhanvantari Hospital,Gujarat,Baroda,"2Nd Floor,Nivedanam Complex,Soma Talaw Cross Road,Dabhoi Ring Road",390019,GJ
0319,HGJ0319,Dhruva Eye Hospital & Laser Centre,Gujarat,Rajkot,Rashtriya Shala Main Road,360002,GJ
0320,HGJ0320,Dhvani Ent Hosptial,Gujarat,Vadodara,Near G.P.O. Raopura.,390001,GJ
0321,HGJ0321,Dhwani General Hospital,Gujarat,Ahmedabad,"#28,New Kamlesh Society,Odhav",382215,GJ
0322,HGJ0322,Dipa Children Hospital&Micu,Gujarat,Ahmedabad,"Bhagwati Complex, Mahalaxmi Paladi.",380007,GJ
0323,HGJ0323,Doctor House,Gujarat,Mehsana,"Jail Road, Mehsana",384002,GJ
0324,HGJ0324,Dr Nutan Shah Eye Hospital & Advanced Phaco Centre,Gujarat,Baroda,"1, Devdeep Complex, Delux Cross, Nizampura",390002,GJ
0325,HGJ0325,Dr. Ashish Dave Eye Hospital,Gujarat,Ahmedabad,"'Aakash' Complex, Station Road, Maninagarahmedabad-380008.",380008,GJ
0326,HGJ0326,Dr. Ashit Shah Eye Hospital,Gujarat,Ahmedabad,"# 202, Shaival Complex, Opp:Chandanbala Tower, Paldipaldi, Ahmedabad-380007.",380007,GJ
0327,HGJ0327,Dr. Atul Shah Eye Hospital,Gujarat,Ahmedabad,"3Rd Floor, Narottam Complex,Bhuyangdev Cross Road,Ahmedabad",380061,GJ
0328,HGJ0328,Dr. Dijesh Shah'S Meru Nursing Home,Gujarat,Bhavnagar,"75 B, Mahila Welfare Society,Chittaranjan Chowk, Vidhyanagar, Bhuvnagar, Gujarat",364002,GJ
0329,HGJ0329,Dr. Gandhi Orthopaedic Hospital,Gujarat,Rajkot,"Vidyanagar Main Road, Sarvoday Sankool.",360002,GJ
0330,HGJ0330,Dr. H.B. Eye Hospital,Gujarat,Surendranagar,"Surendranagar,Near Milan Cinema, Gujarat",363001,GJ
0331,HGJ0331,Dr. Jayant Shah Hospital,Gujarat,Nadiad,"Santram Road, Nadiad,Kheda, Gujarat-387001.",387001,GJ
0332,HGJ0332,Dr. Jayesh C. Gandhi Surgical Hospital,Gujarat,Surendranagar,"Old Junction Road, B/H. Boston Guest House.",363001,GJ
0333,HGJ0333,Dr. Mahesh Rathod Hospital,Gujarat,Rajkot,"1, Sardarnagar, Nr. Astran Chowk, Rajkot",360001,GJ
0334,HHR0334,Aashirwad Hospital,Haryana,Gurgaon,"G-121, Oriental Villa, Sushant Lok-Iii, Sector-57.",125001,HR
0335,HHR0335,Aastha Eye Centre,Haryana,Faridabad,"5-R/5 N.I.T, Near Neelam Petrol Pump, Faridabad-121001",121001,HR
0336,HHR0336,Agarwal Nursing Home,Haryana,Kurukshetra,"Salarpur Road, Kurukshetra, Haryana",136118,HR
0337,HHR0337,Aggarwal Medical Centre,Haryana,Faridabad,"Jiwan Nagar, Gaunchi, Sector-55. Haryana , Faridabad",121004,HR
0338,HHR0338,Ahmed Hospital,Haryana,Gurgaon,"Sector-15,Part-2.",122001,HR
0339,HHR0339,Ahooja Eye & Dental Institute,Haryana,Gurgaon,"560/1, Dayanand Coloney, New Railway Road",122001,HR
0340,HHR0340,Alchemist Hospitals Ltd,Haryana,Panchkula,"Sector 21,Near Main Market",134112,HR
0341,HHR0341,Alchemist Institute Of Medical Science,Haryana,Gurgaon,Sector 53 Saraswatikunj Dlf Golf Course Road Gurgaon,122001,HR
0342,HHR0342,Alps Hospital (Max Hospital),Haryana,Gurgaon,"Block B, Sushant Lok Phase-1,Next To Park Plaza Hotel",122001,HR
0343,HHR0343,Amarawati Hospital,Haryana,Gurgaon,"Saraswati Enclave Near Power House, Opp. Sec. 10A, Gurgaon-122001, Haryana",122001,HR
0344,HHR0344,Amritdhara Hospital Pvt Ltd,Haryana,Karnal,"Chaura Bazar,Near City Police Station",132001,HR
0345,HHR0345,Anand Hospital & Navdeep Eye Centre,Haryana,Panipat,"No.105,Adarsh Nagar Near Head Post Office,",132103,HR
0346,HHR0346,Anand Medical Centre,Haryana,Gurgaon,"# 171, Sector 56, Near Kendriya Vihar",122002,HR
0347,HHR0347,Aneja Hospital & Nursing Home,Haryana,Ambala,"# 48, Mahesh Nagar Opp Water Tank",133001,HR
0348,HHR0348,Anuj Hospital,Haryana,Faridabad,"#2159 & 2161, Sector-16,Faridabad-121002.",121002,HR
0349,HHR0349,Anuradha Hospital & Trauma Centre,Haryana,Faridabad,"D-635 60 Fit Road,Ballabhgarh",121004,HR
0350,HHR0350,Apex Hospital & Trauma Centre,Haryana,Rewari,"Plot No 5, Sector 6, Dharuhera, Rewari, Haryana",123106,HR
0351,HHR0351,Arihant Hospital,Haryana,Gurgaon,"Hno-122,Block-G,Oriental Villa,Sector-57",122002,HR
0352,HHR0352,Artemis Medicare Services Ltd,Haryana,Gurgaon,"Sector-51,",122001,HR
0353,HHR0353,Arunodaya Deseret Eye Hospital,Haryana,Gurgaon,"# Nh 4, Sector-55, Gurgaon, Haryana",122003,HR
0354,HHR0354,Ashwani Hospital,Haryana,Faridabad,"Sector 9, Huda,Market,Opp Comunity Centre",121001,HR
0355,HHR0355,Ashwani Hospital,Haryana,Faridabad,8-D1/Sector-11,121006,HR
0356,HHR0356,Asian Institute Of Medical Sciences (A Unit Of Blue Sapphire Health Care Pvt Ltd),Haryana,Faridabad,Badkal Flyover Road Opp C.P Office,121001,HR
0357,HHR0357,Atam Prakash Yadav Hospital,Haryana,Rewari,"Near Nai Anaj Mandi,Bharawas Road",123401,HR
0358,HHR0358,Ayushman Hospital & Trauma Centre,Haryana,Gurgaon,37K.M. Hero Honda Chowk.,122001,HR
0359,HHR0359,B.R. Memorial Hospital,Haryana,Ballabgarh,"Fca-103, Mukesh Colony, Ballabgarh, Faridabad-121004",121004,HR
0360,HHR0360,Balaji Hospital,Haryana,Jind,"Rohtak Road,",126102,HR
0361,HHR0361,Ballabgarh Nursing Home,Haryana,Faridabad,"64,65-Mukesh Colony Ballabgarn",121004,HR
0362,HHR0362,Bareja Hospital,Haryana,Faridabad,"Main Road, Fatehpur Billoch,Ballabgarh",121004,HR
0363,HHR0363,Bhatia Orthopaedic & Maternity Nursing Home,Haryana,Faridabad,"# 390-Sector 7B, Faridabaddelhi",121006,HR
0364,HHR0364,Bhola Hospital,Haryana,Kurukshetra,"Railway Road, Kurukshetra",136118,HR
0365,HHR0365,Brahm Shakti Sanjivani Hospital,Haryana,Jhajjar,Opp:Telephe Exchangedist Jharjjar,124507,HR
0366,HHR0366,Brrighton Kavita Hospital,Haryana,Faridabad,"5,Sector-29,Opp Huda Market, Faridabad , Haryana",121008,HR
0367,HHR0367,C.K.Memorial Kapoor,Haryana,Faridabad,"3B/8A,Nit,Nh-3,Dav College Road",121001,HR
0368,HHR0368,Centre For Sight (Gurgaon),Haryana,Gurgaon,"Sco Complex-317, Sec-29, Gurgaon",122002,HR
0369,HHR0369,Centre For Sight (Hisar),Haryana,Hissar,"Centre For Sight At Gayatri Eye Care Institute,1Model Town, Jindal Chowk, Hissarhisar",125001,HR
0370,HHR0370,Centre For Sight-Faridabad,Haryana,Faridabad,"At-Sunflag Hospital, Sector 16-A, Faridabad, Haryana",121001,HR
0371,HHR0371,Chakravarty Nursing Home,Haryana,Panchkula,"# 207, Sector-10, Panchkula,Haryana-134113",134113,HR
0372,HHR0372,Chandna Medical Centre,Haryana,Faridabad,"85 & 52, Sector Iba, Near New Subzi Mandi.",121002,HR
0373,HHR0373,Chandravati Child & Maternity Hospital,Haryana,Faridabad,"House # 1177, Sector-19, Opp Sai Baba Mandir",121002,HR
0374,HHR0374,Channan Devi Memorial Hospital,Haryana,Rohtak,"Plot No 952, Ward No 23, Lal Chand Colony Chwok, Near Durga Mandir Rohtak-124001, Haryana",124507,HR
0375,HHR0375,Chaudhry Medical & Maternity Hospital,Haryana,Karnal,"# 1543-44, Sector-13, Urban Estate Opp Pani Ki Tanki, Karnal-132001",132001,HR
0376,HHR0376,Chhabra Hospital Panipat,Haryana,Panipat,"A-1,Narain Singh Park,Assandh Road",132103,HR
